case_id,source_packet_path,source_packet_sha256,source_packet_hash,canonical_text_sha256,translation_gloss_sha256,rights_status,edition_or_version,language_layers,context_rule,inclusion_layer,familiarity_status
L1_AUSTEN_PNP_001,data/studies/human_llm_pilot/source_packets/L1_AUSTEN_PNP_001.json,4b0e4fec1b4daee796fe1b068845db7137de1d2f75d14811a14f4e56e99ac155,d5294cdfea60248b5bf0d37065a19c8a951b90e9dc41911609e3671e0b14243d,71502942b371370c9537d9c820fce7423cb3e794df2154e7338d282e5d808757,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #1342, English public-domain edition",canonical_text,focal paragraph plus adjacent transition,Layer 1,casual_familiarity
L1_SHELLEY_FRANK_001,data/studies/human_llm_pilot/source_packets/L1_SHELLEY_FRANK_001.json,aae6d0f4298b66f414fbbd1f9ad3a1261d1e7579896bd5d3668abe7a6732ef39,0cf97a18383b85b0078afc80cc9b2199a7383bf05e843a4bdb157cbe2fcac69c,6d6e6a5fb74189673b173b98cc6714835f087776cbd7768ab65de9e038c27036,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #84, English public-domain edition",canonical_text,focal confrontation speech plus Victor’s immediate address,Layer 1,casual_familiarity
L1_DICKENS_GE_001,data/studies/human_llm_pilot/source_packets/L1_DICKENS_GE_001.json,f8f10efab8b3d27c55fed399400cfc5b9872e0ae57f09fe0177e8b7864218158,0c2561c6bd4d07a8479341fb6230d4a10906a08d89f2fcc7c4ac199de58bc491,2d29b52e6e37a15ec602bc9493f1aa5f2888a05ea9be0c9a07aeb9c1561f092f,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #1400, English public-domain edition",canonical_text,focal revelation plus immediate reaction and kinship claim,Layer 1,casual_familiarity
L1_BRONTE_JE_001,data/studies/human_llm_pilot/source_packets/L1_BRONTE_JE_001.json,bc8595d6aa86978e484ef7d9affe7ad658fb1b1115a8ed273d9f7c288e2738b5,fb0a1010d32b269dd0710e06f1562660ae9276dea3be50a105aaf3da60762bb8,8d7b71caead92b9304a02452eb9b87e2ff8eebd22541b053ec2c411c870a0438,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #1260, English public-domain edition",canonical_text,focal moral decision plus inner appeal,Layer 1,casual_familiarity
L1_WILDE_DG_001,data/studies/human_llm_pilot/source_packets/L1_WILDE_DG_001.json,807a7bae4b6e4d850f4f70769139321a42544f49c525c3f508880fadc98a58f3,a7c1ea478fef30ce8afe0739dfaf1030453ddd51966bd477738a5e5a80615343,3d519db6ae0da4fc49c71ccb8ca696dc75cd0709f9bf9ad910181d8dc60cb1bd,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #174, English public-domain edition",canonical_text,focal wish and immediate utterance,Layer 1,casual_familiarity
L1_JAMES_TS_001,data/studies/human_llm_pilot/source_packets/L1_JAMES_TS_001.json,7d9ad8edaaaffbb74e11a1583d2402b67f74c1a49a73cc3c9b0abd85c8359e0c,4216519022d0c44dc5636c8aa7eaed5f3a3a2941eb60e7672bfc2ce42c254430,3146717475ee33bc35ff84d1318e0612b03379251e44e3c9e335fdc49c9cd230,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #209, English public-domain edition",canonical_text,focal sighting plus immediate perception report,Layer 1,casual_familiarity
L1_STEVENSON_JH_001,data/studies/human_llm_pilot/source_packets/L1_STEVENSON_JH_001.json,35fda9a3916664def1d7fb5ce2b057e7c6edfe6b429ea4099cede41eb079ebce,9886ad2ebc49cd9844396adc573642e91db26e06497227903b6e4deb29005a69,f1667a3dd1174124e93b83c27f4255f68cd0dcfb49bcecc3a70fdf25cf10baea,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #43, English public-domain edition",canonical_text,focal inference line plus adjacent surveillance context,Layer 1,casual_familiarity
L1_POE_TELLTALE_001,data/studies/human_llm_pilot/source_packets/L1_POE_TELLTALE_001.json,ccd882480460e078a3bb36f2542c0c1c9943a8a2e997131b691f80a46208dc08,215ed1bebdf4432f32ed3a4b08c9dbd1a8a416c8c358ec61ddbe4b4a46a533ef,6ce8960fe2e1ccae41942792420e76a7f072478b28d856fb41ae8fd5a6b89c8a,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #2148, English public-domain Poe edition",canonical_text,opening self-justification and stated motive,Layer 1,casual_familiarity
L1_HAWTHORNE_SL_001,data/studies/human_llm_pilot/source_packets/L1_HAWTHORNE_SL_001.json,ff72f714f7cff10b4c5103aff16c503e95eddc401bb6221257f92bea463343d5,47551db63da2ace72657edd9b4c1c84ec4e53fbad2c721f689427c2b07e5e9b2,ea4a11048e85022263c79853aa85e428eb04e188d62436636dc5e56a1f86487f,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #25344, English public-domain edition",canonical_text,focal scaffold description plus immediate physical/narrative framing,Layer 1,casual_familiarity
L1_CHOPIN_AWAKENING_001,data/studies/human_llm_pilot/source_packets/L1_CHOPIN_AWAKENING_001.json,185abaef21de11c20b7db6ed9a1044113b356e88219dedcd4b0bd54696a2bd97,3163a60bb350678cdc78f4833ac27c05f65c3d19129b386c4a9c82e3271474e8,8211ffd9ca3d2db82ae5c6d5c2bdf3f4dc1fae4fbe554e6fe197a551ac939642,,public_domain_us_project_gutenberg_or_public_domain_translation,"Project Gutenberg eBook #160, English public-domain edition",canonical_text,focal thematic passage plus immediate transition,Layer 1,casual_familiarity
